keyword,scope,city,location_name,volume,cpc,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid,data_source
tiny house california,state-modified,,United States,170,2.08,MEDIUM,58,0.64,3.1,DataForSEO Google Ads search_volume/live
tiny home california,state-modified,,United States,1600,2.74,MEDIUM,51,0.63,2.87,DataForSEO Google Ads search_volume/live
tiny house laws california,state-modified,,United States,40,UNKNOWN,LOW,1,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny home laws california,state-modified,,United States,10,UNKNOWN,LOW,0,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house regulations california,state-modified,,United States,10,UNKNOWN,LOW,0,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny home regulations california,state-modified,,United States,10,UNKNOWN,LOW,0,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house zoning california,state-modified,,United States,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny home zoning california,state-modified,,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
where put tiny house california,state-modified,,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house backyard california,state-modified,,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
california tiny house adu,state-modified,,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
california movable tiny house adu,state-modified,,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
movable tiny house california,state-modified,,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house on wheels california,state-modified,,United States,30,1.12,MEDIUM,34,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny home communities california,state-modified,,United States,1300,2.24,LOW,17,0.41,2.58,DataForSEO Google Ads search_volume/live
tiny house communities california,state-modified,,United States,1300,2.24,LOW,17,0.41,2.58,DataForSEO Google Ads search_volume/live
tiny homes for sale california,state-modified,,United States,1600,1.52,MEDIUM,64,0.49,2.48,DataForSEO Google Ads search_volume/live
tiny home builders california,state-modified,,United States,720,4.3,MEDIUM,46,0.66,3.4,DataForSEO Google Ads search_volume/live
tiny house builders california,state-modified,,United States,720,4.3,MEDIUM,46,0.66,3.4,DataForSEO Google Ads search_volume/live
tiny house los angeles,city-modified,los angeles,United States,720,2.68,MEDIUM,38,0.71,4.18,DataForSEO Google Ads search_volume/live
tiny home los angeles,city-modified,los angeles,United States,720,2.68,MEDIUM,38,0.71,4.18,DataForSEO Google Ads search_volume/live
tiny house zoning los angeles,city-modified,los angeles,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny home regulations los angeles,city-modified,los angeles,United States,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house adu los angeles,city-modified,los angeles,United States,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
