keyword,scope,bucket,location_name,volume,cpc,competition,competition_index,low_top_of_page_bid,high_top_of_page_bid,data_source
how to build a tiny house,general,diy,United States,1900,0.79,HIGH,92,0.22,1.96,DataForSEO Google Ads search_volume/live
how to build a tiny home,general,diy,United States,1900,0.79,HIGH,92,0.22,1.96,DataForSEO Google Ads search_volume/live
build a tiny house,general,diy,United States,40500,1.44,HIGH,68,0.33,2.51,DataForSEO Google Ads search_volume/live
build a tiny home,general,diy,United States,40500,1.44,HIGH,68,0.33,2.51,DataForSEO Google Ads search_volume/live
build tiny house on wheels,general,diy-thow,United States,390,0.9,LOW,20,0.39,1.91,DataForSEO Google Ads search_volume/live
how to build a tiny house on wheels,general,diy-thow,United States,90,0.25,MEDIUM,49,UNKNOWN,UNKNOWN,DataForSEO Google Ads search_volume/live
tiny house plans,general,plans,United States,27100,0.22,HIGH,100,0.05,0.4,DataForSEO Google Ads search_volume/live
tiny home plans,general,plans,United States,27100,0.22,HIGH,100,0.05,0.4,DataForSEO Google Ads search_volume/live
tiny house floor plans,general,plans,United States,5400,0.19,HIGH,100,0.05,0.54,DataForSEO Google Ads search_volume/live
tiny home floor plans,general,plans,United States,27100,0.22,HIGH,100,0.05,0.4,DataForSEO Google Ads search_volume/live
tiny house kits,general,kits,United States,12100,0.4,HIGH,100,0.22,0.71,DataForSEO Google Ads search_volume/live
tiny home kits,general,kits,United States,12100,0.42,HIGH,100,0.24,0.89,DataForSEO Google Ads search_volume/live
tiny house shell,general,shell-trailer,United States,3600,0.59,HIGH,86,0.37,1.43,DataForSEO Google Ads search_volume/live
tiny house trailer,general,shell-trailer,United States,9900,0.6,HIGH,83,0.37,1.68,DataForSEO Google Ads search_volume/live
tiny house builders,general,builders,United States,40500,1.44,HIGH,68,0.33,2.51,DataForSEO Google Ads search_volume/live
tiny home builders,general,builders,United States,40500,1.44,HIGH,68,0.33,2.51,DataForSEO Google Ads search_volume/live
tiny house builders near me,general-localized,builders-near-me,United States,4400,2.09,HIGH,85,0.45,2.92,DataForSEO Google Ads search_volume/live
tiny home builders near me,general-localized,builders-near-me,United States,4400,2.09,HIGH,85,0.45,2.92,DataForSEO Google Ads search_volume/live
tiny house builder near me,general-localized,builders-near-me,United States,4400,2.09,HIGH,85,0.45,2.92,DataForSEO Google Ads search_volume/live
